ID	EntryID	Segments	Meaning
246	2442-fej	f ɛ j	Quelle, Anfang, oberer, Teil, Gegenstandes, Kopf, Haupt, oberer, Teil, Körperteils, bes, Gliedmaßen, od, Fruchtstand, Person, Verstand, Wesen, Sache, Kopf-, Herr, leitende, Person, Kopf, versehen, bekanntgeben, mitteilen, erklären, ausdrücken, ausbessern, köpfen, Fußball, beendigen, durchführen, Kopf-
247	2452-fek	f eː k	Zaum, Bremse, hemmende, Kraft
248	2454-fekete	f ɛ k ɛ t ɛ	schwarz, dunkel, Schwarze, schwarze, Teil, irgendeiner, Sache, Auges, Nägeln, usw, Neger, schwarzes, Kleid, Mokka, Rappe, Mokka, trinken, Schwarzhandel, treiben, verbotenerweise
249	2456-fekszik	f ɛ k.s i k	liegen, Person, legen, ausbreiten, liegen, liegen, Militär, befinden, Gegenstand, etw, bestehen, Liegen, Liegen, liegend, Liegen, Art, Eule, liegen, lassen
250	2458-fel	f eː l	fürchten, ängstigen, jmdn, verehren, fürchten, erschrecken, furchtbar, ängstlich, furchtsam, eifersüchtig
251	2459-fel	f eː l	Mitmensch, Nächste, Hälfte, Teil, Seite, Partei, Partner, Gegner, Ehefrau, Gegend, Landes-, od, Ortsteil, Mitte, beiden, halb, paarig, Gattin, Gefährte
252	2484-fen	f ɛ n	Wetzstein
253	2493-fento	f ɛ n.t øː	Schachtelhalm, Speer, Art, Pfosten, Töpfe
254	2494-feny	f eː ɲ	Schimmer, Glanz, Licht, Augenlicht, Ruhm, Aufklärung, Herrlichkeit, Pracht, verklären, beleuchten, lassen, schimmern
255	2496-fenyer	f ɛ ɲ eː r	Gelände, Benennung, versch, Pflanzen, Schlamm, Heide, Klee, Luzerne
256	2498-fenyo	f ɛ ɲ øː	Nadelbaum, Nadelholz, Nadelwald, Wacholder, Pech, Nadelwald
257	2504-fereg	f eː r ɛ ɡ	Geschöpf, Wurm, Ungeziefer, Mensch, wildes, od, schädliches, Tier, Benennung, verschiedener, Krankheiten, Zunge, Hundes
258	2514-ferto	f ɛ r.t øː	Suhle, Sumpf, Pfuhl, Sündenpfuhl, infizieren, infizieren, unrein, besudelt, infiziert, unrein, besudelt
259	2573-finta	f i n.t ɒ	heuchlerisch, schief, schräg
260	2604-fiu	f i.uː	Sohn, Nachkomme, Junge, Tieres, Gegend, Stadt, usw, gebürtige, Person, Anrede, unabhängig, Geschlecht, Geringfügigkeit, Schublade, Fach, Zelle, Knabe, Bursche, Söhnchen, brüten
261	2633-fog	f o ɡ	greifen, fassen, festhalten, Hilfsverb, Zukunft, bzw, wahrsch, Handlung, fangen, Tier, gefangennehmen, schwanger, wahrnehmen, verstehen, ertappen, Bedrängnis, bringen, wirksam, einspannen, befallen, Krankheit, überwältigen, Gefühl, empfangen, nehmen, Beschlag, belegen, aufnehmen, dingen, jmdn, etw, anhalten, zwingen, jmdn, etw, gewöhnen, beginnen, jmdn, etw, unterstellen, nehmen, jmdn, etw, anlegen, Weg, jmdn, beziehen, bebauen, bestellen, auffangen, kurz, entschlossen, etw, tun, abfärben, Zange, Handhabe, Griff, gefangennehmen, befingern, Kniff, Griff, Gericht, Speise, schwierig, unbegreiflich, kleine, Zange, Haschen, These, Syllogismus, Gespann, Geländer
262	2634-fog	f o ɡ	Zahn, Zacke, Zinke, Zähnen, versehen, zackig, haken, schwierig, Angelegenheit
263	2650-fok	f o k	Meeren, Flüssen, usw
264	2663-folt	f o l.t	Teil, Menschengruppe, Bissen, Haufen, Bündel, fleck, Rudel, Volk, Tiere
265	2669-fon	f o n	spinnen, flechten, spinnen, Ränke, schmieden, spinnen, Katze, Faden, Aufruhr, Aufstand, Spinnstube, Flechte
266	2673-foncsika	f o n.t͡ʃ i k ɒ	Fetzen, Lumpen, kleines, Stückchen, etw
267	2674-foncs	f o n.t͡ʃ	Fetzen, Lumpen
268	2696-forr	f o rː	entspringen, sieden, wallen, wimmeln, drängen, gären, Gärung, vernarben, verwachsen, Kehle, steckenbleiben, heute, Quelle
269	2698-forras	f o rː aː ʃ	quelle, Ursprung
270	2706-fos	f o ʃ	Durchfall, dünner, Schlamm
271	2716-fo	f øː	wichtigster, oberster
272	2719-fodemes	f ø d eː m ɛ ʃ	Bienenzüchter
273	2721-fol	f ø l	höher, liegend, Obers, Haut, Milch, oberer, Teil, etw, Oberfläche, Rest, Beste, zahlreich, überflüssig, sahnig, Rahm, beschmieren
274	2722-fold	f ø l.d	Erde, Boden, Erdkugel, Acker, Land, Tonerde, Festland, Grundfarbe, Land, Erde, transportieren, erden
275	2741-foveny	f ø v ɛ ɲ	Sand, Kampfplatz, Stein
276	2798-fur	f uː r	bohren, aushöhlen, durchlöchern, wurmt, jmdn, etw, bohrt, Kopf, herum, kränken, ängstigen, hineinstecken, hineindrücken, jmdn, intrigieren, quälen, Bohrung, bohren
277	2827-fu	f yː	Gras, Kraut, Rasen, Weide, Wiese, Heilpflanze, aufgelaufene, Saat, junges, Getreide, grasen, beweiden, Botaniker
278	2828-fu	f yː	Art
279	2831-fugg	f y ɡː	hängen, etw, enthalten, jmdm, od, etw, abhängen, etw, verknüpft, etw, folgen, abhängig, Bewunderung, beobachten, Schwebe, hängen, trans, Anhängsel, Pendel, Vorhang, Funktion, Math, Anhängsel
280	2832-ful	f y l	Ohr, Ohrmuschel, Henkel, Alkoven, Nische, Versteck, Ecke, Seite, Klappe, Langohr, Hase, Nachricht, Ohrfeige
281	2840-furesz	f yː r eː s	Säge, Sägemühle, zackig, gesägt
282	2842-furj	f y r.j	Wachtel
283	2855-fuz	f yː z	Weidenbaum
284	2873-galad	ɡ ɒ l aː d	fahrender, Student, Gaukler, frevelhaft, frech, geizig
285	2876-galamb	ɡ ɒ l ɒ m.b	Taube, Schatz, Täubchen, Anrede, Kuchen, Form, Taube, Taubenschlag
286	2889-galna	ɡ aː l.n ɒ	Schneeball, Bot, Eberesche, Benennung, versch, Pflanzen, zB, Ginster, Johannisbeere, usw
287	2898-gamo	ɡ ɒ m oː	Haken, Krücke, großer, Fuß, Pferd
288	2900-gane	ɡ ɒ n eː	Kot, Dünger, Schlacke, Holz, usw, Ziegel, getrocknetem, Mist, Heizen
289	2928-gat	ɡ aː t	Staudamm, Hag, Hecke, Zaun, Umfriedung, Aufschüttung, Damm, schwer, Gelände, Furt, Graben, Hindernis, Deich, Stück, After, Geschlechtsteilen, Hürde, versch, Sportarten, Brücke, befestigte, Fahrbahn, dämmen, verhindern, Hindernis, Hemmung
290	2931-gaz	ɡ ɒ z	wald, Bodensatz, Mist, Schmutz, Spreu, Stroh, Heu, niederträchtig, böse, Schmutz
291	2933-gazda	ɡ ɒ z.d ɒ	Hauswirt, Verwalter, Eigentümer, Gemahl, Mann, Art, Kartenspiel, Landwirt, Wirtstier, Wirtspflanze, Reicher, bewirten, wirtschaftliche, Arbeit, betreiben, gastfreundlich, Landwirt, Wirkung, Verwalter, Wirtschaften, Landgut, unfreundlich, herrenlos, freigebig, nützlich, rentabel
292	2946-geg	ɡ eː ɡ	Kehlkopf
293	2950-gem	ɡ eː m	Reiher, Stange, Pfahl, Zugbrücke, Schlagbaum, Hebezeug, Teil, Gewehrs
294	2974-gerencser	ɡ ɛ r ɛ n.t͡ʃ eː r	Töpfer
295	2989-geszt	ɡ ɛ s.t	holzige, Schale, Frucht, Kernholz
296	2998-gida	ɡ i d ɒ	Zicke, Ziege
297	3006-gim	ɡ iː m	Hirschkuh
298	3041-gomb	ɡ o m.b	Knopf, Kleid, usw, Knoten, Ohrläppchen, Kugel, Obst, kleine, Frucht, haupts, Männer, Augapfel
299	3042-gomba	ɡ o m.b ɒ	Pilz, kreisförmiges
300	3053-gonosz	ɡ o n o s	sittlich, schlecht, unheilvoll, schlimm, krank, Übel, Schaden, Schandtat, Sünde, böser, Geist, Teufel, sittlich, schlechter, böser, Mensch, Anstoß, erregen, Anstoß, nehmen, etw, Skandal, moralisch, verderben
301	3067-gobe	ɡ ø b ɛ	Sau, ungeschlacht, albern
302	3072-godeny	ɡ ø d eː ɲ	Pelikan, Möwe, Reiher, Trunkenbold, Vielfraß
303	3076-gogos	ɡ øː ɡ ø ʃ	hochmütig, aufgeblasen, großem, Kehlkopf, Adamsapfel
304	3089-gorbe	ɡ ø r.b ɛ	Bucklige, Buckel, Höcker, Kurve, Rücken, Diagramm, bucklig, Katzenbuckel, habend, gebogen, krumm, unfreundlich, unwirsch, unanständig, ehrlos, gebirgig, verbracht, krümmen
305	3091-goreny	ɡ ø r eː ɲ	Iltis, Mensch
306	3095-gorog	ɡ ø r ø ɡ	rollen, donnern, donnert, rinnen, rieseln, begatten, Schwein, grunzen, Steinschlag, Lawine, Donner, rund, Rolle, Gegenstand, Donner
307	3096-gorog	ɡ ø r ø ɡ	griechisch, Grieche, Kaufmann
308	3140-gubacs	ɡ u b ɒ t͡ʃ	Kokon
309	3151-gulya	ɡ u j ɒ	Rind, Rinderherde, Frühjahr, Herbst, Weide
310	3168-guta	ɡ u t ɒ	Gehirnschlag, mildes
311	3172-guzs	ɡ uː ʒ	Halten, Ruders, Pflug, Fessel, Waldrebe, Ranke
312	3175-gugye	ɡ y ɟ ɛ	albern, unbeholfen
313	3179-guzu	ɡ y z y	Art, Tier, Maulwurf, Ratte, usw, Langschläfer, hamstern
314	3182-gyak	ɟ ɒ k	stechen, geschlechtlich, verkehren, sticheln, Stechen, Pfahl
315	3195-gyanta	ɟ ɒ n.t ɒ	Bernstein, Harz, Glasur
316	3212-gyekeny	ɟ eː k eː ɲ	Rohrkolben, Matte
317	3215-gyep	ɟ ɛ p	Rasen, unbebautes, Feld, Pferderennbahn, 1798, verrosten
318	3218-gyepu	ɟ ɛ p yː	Hag
319	3235-gyota	ɟ oː t ɒ	Wald, weide
320	3236-gyoker	ɟ ø k eː r	Geschlecht, Stamm, Wurzel, Pflanze, Innere, Grund, Ursprung, Wurzel, Math
321	3240-gyongy	ɟ ø n.ɟ	Mistel, echte, Perle, unechte, Perle, Glasperle, Knospe, rundliche, Oberfläche, Perlen, schmücken, perlen
322	3242-gyonyoru	ɟ ø ɲ ø r yː	herrlich, wunderschön
323	3248-gyula	ɟ u l ɒ	oberster, Richter, od, Heerführer, Ungarn, Z, Landnahme
324	3249-gyur	ɟ uː r	kneten, bereden, überzeugen, suchen, massieren, Körperbehandlung, Masseur, Knetmasse
325	3253-gyumolcs	ɟ y m ø l.t͡ʃ	Frucht, Obst, Leibesfrucht, Sproß, Frucht
326	3254-gyumolcseny	ɟ y m ø l.t͡ʃ eː ɲ	Art, Gestrüpp
327	3257-gyuru	ɟ yː r yː	Ahorn-, od
328	3262-hab	h ɒ b	Welle, Wellenschlag, Bimsstein, Schaum, Schaum
329	3274-haboru	h aː b o r uː	Tumult, Getümmel, Unruhe, Sturm, Gewitter, Krieg, Krieg, stürmisch, unruhig, erregt, zornig, uneinig, aufgeregt, erregt, zornig, uneinig, verrückt, verwirrt
330	3282-had	h ɒ d	Heer, Krieg, Trupp, Haufen, Trupp, Haufen, Sippe, Krieg
331	3286-hadnagy	h ɒ d.n ɒ ɟ	Befehlshaber, Kommandant, Vorgesetzter, Leutnant
332	3290-hagy	h ɒ ɟ	verlassen, lassen, tun, geschehen, vererben, hinterlassen, befehlen, anordnen, jemanden, Zustand, Ort, lassen, anvertrauen, überlassen, anvertrauen, überlassen, Sache, aufhören, bleiben, lassen, verkaufen, aufschieben, übriglassen, aufschieben, übriglassen, Spur, usw, hinterlassen, genehmigen, zulassen, bewilligen, Scheidung, Nachlaß, Tradition, nachlassen, Lassen, a
333	3293-hagyma	h ɒ ɟ.m ɒ	Blumen
334	3301-haj	h ɒ j	Kopfhaar, Kopfhaar, Ähre, Haar, Pflanzen, bzw, Seide, Mais, Faden
335	3303-haj	h aː j	Salbe
336	3319-hajo	h ɒ j oː	Schiff, Schiff, Kirche, Luftschiff, Kahn
337	3328-hal	h ɒ l	bewegen, aufhören, erstarren, absterben, verkümmern, Teil, Organismus, sterben, Tatkraft, verlieren, außer, Gebrauch, kommen, Gegenstand, ohnmächtig, ermatten, erschlaffen, aufgehen, verlieren, aussterben, zugunsten, jemandes, Testament, Tote, sterblich, Tod
338	3329-hal	h ɒ l	Fisch, unerfahrener, Mensch, Anfänger, Fischer, fischen
339	3330-hal	h aː l	übernachten, schlafen, übernachten, schlafen, Geschlechtsverkehr, ausüben, Schlafzimmer
340	3331-hala	h aː l ɒ	Dank, Danksagung, dankbar, Danksagung
341	3332-halad	h ɒ l ɒ d	Lebewesen, verzögern, aufgeschoben, übersteigen, Weg, usw, neben, vorbeigehen, a
342	3340-hall	h ɒ lː	hören, vernehmen, zuhören, Gehör, schenken, Hören, hören, lassen
343	3346-halom	h ɒ l o m	niedriger, Hügel, Haufen, Stoß, Menge, häufen
344	3351-hamar	h ɒ m ɒ r	schnell, kurzer, Zeit, kurzer, Zeit, bald, schnell, plötzlich, rasch, früh, eher, Wettbewerb, schnell, eher
345	3352-hamis	h ɒ m i ʃ	arglistig, böse, unwahr, unecht, falsch, schelmisch, falsch, Musik, Singen, bös, bissig, Tier, fälschen
346	3356-hamu	h ɒ m u	Asche, Leiche, Asche, bedeckt, od, gefüllt, aschgrau, flaumig, duftig, Obst, a, samtig
347	3367-hang	h ɒ n.ɡ	Ton, Schall, Klang, Stimme, Laut, Ton, Schall, Klang, Stimme, Laut, Wort, Redeweise, Sprechweise, Ton, Gesang, Musik, Vokal
348	3372-hant	h ɒ n.t	Erdhaufen, Rasen, Grabhügel
349	3375-hany	h ɒ ɲ	Sumpf, Sumpf
350	3391-harag	h ɒ r ɒ ɡ	Zorn, Zorn, zornig, zornig, Zorn
351	3397-harang	h ɒ r ɒ n.ɡ	Glocke, Glöckchen, Glocke, Gegenstand, egy, a
352	3403-haraszt	h ɒ r ɒ s.t	Art, Wald, Art, Wald, Eichenwald, Gebüsch, Gebüsch, Stieleiche, Erle, abgefallene, dürre, Blätter, Gras, großes, breites, Blatt, grünes, Laub, Wirsingkohl, Kohlblatt
353	3405-harcsa	h ɒ r.t͡ʃ ɒ	Wels
354	3419-harom	h aː r o m	drei, dritter, Drittel, Terz, Music, verdreifachen, Dreifaltigkeit
355	3421-hars	h aː r.ʃ	Linde, Strick, Bast
356	3433-haszon	h ɒ s o n	Ertrag, Nutztieren, Vorteil, Nutzen, Wert, Einnahme, Einkommen, Gewinn, Wirksamkeit, Sache, Erfolg, Ergebnis, Sache, Möglichkeit, Vermögen, Geeignetheit, Anwendbarkeit, Verwendung, Inanspruchnahme, Nützlichkeit, Anwendung, Benutzung, nützlich, gebräuchlich, unnütz, Adj, vergeblich, Adv, unnütz, unbenutzt, aki, vagy, ami, gebraucht, Adj
357	3436-hat	h ɒ t	sechs, sechster, Sechstel, Sexte, Musik
358	3437-hat	h aː t	Erdoberfläche, Rücken, Körpers, Rückseite, Rückenteil, Kleides, usw, Lehne, hinterer, Teil, Gegenstandes
359	3442-hatar	h ɒ t aː r	Grenze, Landesgrenze, gesetzte, Bestimmung, Grenze, Gemarkung, Haufen, bestimmen, begrenzen, definieren, beschließen, zählen, gelten, Horizont, Adjektiv, Adverb, Horizont, Entschluß, Bescheid, Beschluß, grenzenlos
360	3444-hatvan	h ɒ t.v ɒ n	sechzig
361	3450-haz	h aː z	Gebäude, Wohnort, Aufenthaltsort, haus, Zimmer, Geschlecht, Familie, Palast, Burg, Haushalt, Dynastie, Handelshaus, Firma, Zuschauerraum, Theater, Gehäuse, Abgeordnetenhaus, Haus, habend
362	3456-hazug	h ɒ z u ɡ	unwahr, Lügner
363	3473-hegy	h ɛ ɟ	Berg, Spitze, Haufen, spitzig, hochmütig, sticheln
364	3488-hely	h ɛ j	Ort, Behörde, Ort, Stelle, Text, Stelle, Platz, Reihenfolge, Lage, Platz, Raum, Rechtsgrund, stellung, setzen, stellen, setzen, stellen
365	3489-helyes	h ɛ j ɛ ʃ	Hufe, habend, wahr, richtig, nett, hübsch
366	3510-herceg	h ɛ r.t͡s ɛ ɡ	Heerführer, Edelmann, vornehmer, Amtsträger, Prinz, Rang, hohen, Adel
367	3536-het	h eː t	sieben, siebenter
368	3537-het	h eː t	Woche
369	3542-hetfo	h eː t.f øː	Montag, Sonntag
370	3554-heviz	h eː v iː z	Thermalquelle, Thermalbad
371	3562-hid	h iː d	Brücke, Bauwerk, Stall, Verbindungsteil, Tisch, Brücke, Zahnersatz, Brücke, überbrücken, überbrücken, Steg, Fußboden
372	3563-hideg	h i d ɛ ɡ	kalt, schroff, unfreundlich, gleichgültig, leblos, Kälte, Schüttelfrost, Fieber, Frost, kaltes, Gericht, Schauder, Kälteempfinden, erkälten, etw, abkehren
373	3577-him	h iː m	Eber, männliches, Lebewesen, Bot
374	3578-him	h iː m	Zierde, Muster, Stickerei, Verwicklung, Kniff, Kunstgriff, winden, malen, sticken
375	3592-hir	h iː r	Kenntnis, Nachricht, Ruhm, berühmt, berühmt, Kundgebung, berüchtigt
376	3597-hisz	h i s	glauben, denken, vertrauen, jmdn, glauben, überheben, Gläubige, Irreführung, Meinung
377	3601-hit	h i t	Vertrauen, Vertrauen, Glaube, Glaube, Ehre, Ehrenwort, religiöser, Glaube, Eid, Religion, ungläubig, eingeschworen, legitim, Angetraute, treu, treulos, abfallen, Glaube
378	3605-hitvany	h i t.v aː ɲ	mager, schwächlich, schlecht, erbärmlich, fehlbar, gebrechlich, töricht, niederträchtig, böse, minderwertig
379	3608-hiu	h i.uː	leer, frei, etw, müßig, ungültig, fruchtlos, vergeblich, nutzlos, töricht, eitel
380	3613-hivatal	h i v ɒ t ɒ l	Berufung, Pflicht, Rufen, Ruf, Amt, Würde, Beschäftigung, Arbeitskreis, Amt, Behörde, geladen, berufen, amtlich, offiziell
381	3615-hizik	h iː z i k	Fett, ansetzen, dick, zunehmen, Schwein, Schlachtvieh, erfrischen, mästen, Ruheplatz
382	3616-ho	h oː	Schnee, Schneeberg
383	3617-ho	h oː	Mond, Monat
384	3622-hod	h oː d	Biber, Fischotter
385	3637-hold	h o l.d	Mond, Blesse, Satellit, Pferd, Blesse, Stirn
386	3643-hollo	h o lː oː	Rabe
387	3655-homok	h o m o k	Sand
388	3657-homoru	h o m o r uː	innen, gewölbt, eingefallen, erhöht, gewölbt
389	3660-hon	h o n	Vaterland, Heimat
390	3685-horh	h o r.h	Hohlweg, Hohlweg
391	3688-horka	h o r.k ɒ	Würdenträger, Befugnis, Richters
392	3693-horog	h o r o ɡ	Angel, Haken, Engpaß, Benennung, Bewegungen, versch, Sportarten, heute, haupts, Boxen, Basketball, angeln, biegen, häkeln
393	3697-hort	h o r.t	Jagdhund, Windhund
394	3701-horvat	h o r.v aː t	Kroate, Art, Husar, kroatisch
395	3704-hosszu	h o sː uː	lang, räumlich, lang, zeitlich, umfangreich, Länge, verschieben, verlängern, lange, längs
396	3712-ho	h øː	warm, heiß, glühend, leidenschaftlich, Seele, Gefühl, Hitze, Wärme, Glut, Gefühls, heiß
397	3715-holgy	h ø l.ɟ	Hermelin, Braut, Gemahlin, Dame
398	3719-horcsog	h ø r.t͡ʃ ø ɡ	Kröte, Igel, Dachs, Hamster
399	3722-hos	h øː ʃ	Jüngling, Junggeselle, mutiger, Mann, Held, Soldat, Romans, Dramas, Ereignisses, tapfer, heroisch, unverheiratet, heldenhaft, Haltung, usw, Jüngling, Kühnheit
400	3725-hug	h uː ɡ	Anrede, Frau, Schwester, Nichte, Klosterfrau, Nonne, jüngere, Schwester
401	3727-hugy	h uː ɟ	Harn
402	3728-hugy	h uː ɟ	Stern, Gestirn
403	3732-hull	h u lː	dichten, Tropfen, herabfallen, abfließen, herabfallen, wiederholt, od, dauernd, fallen, Gesicht, werfen, Kniefall, tun, ausfallen, Haar, Gefieder, usw, verfallen, einstürzen, zerfallen, Stücke, gehen, umkommen, Kampfe, fallen, eingehen, Tier, Fallen, fallen, lassen, Streuen, Fallenlassen
404	3741-huny	h u ɲ	schließen, Augen, blinzeln, schließen, Auge, untergehen, Sonne, schlummern, sterben, erlöschen, Feuer, Glanz, Spiel, ducken
405	3757-hus	h uː ʃ	Fleisch, Fruchtfleisch, Fleisch, zerschneiden
406	3760-husvet	h uː ʃ.v eː t	Ostern
407	3761-husz	h uː s	zwanzig, Art, Geld, Art, Steuer
408	3769-hu	h yː	treu, gläubig, getreu, genau
409	3782-huvos	h yː v ø ʃ	kühl, barsch, unfreundlich, Kühle, kühler, Ort, Gefängnis
410	3793-ideg	i d ɛ ɡ	Bogensehne, Riemen, Nerv, Saite, Sehne, ausgestattet, nervös
411	3813-iger	iː ɡ eː r	versprechen
412	3817-igy	i ɟ	heilig
413	3828-iker	i k ɛ r	zweifach, Zwillings-, Zwilling, Drilling, usw
414	3868-in	iː n	Sklave
415	3869-in	iː n	Bein, Wade, Nerv, Seil, Sehne, Muskel, Gaumen, Rachen, Ranke, Ader, Bogensehne, stark
416	3907-int	i n.t	verführen, Hinterhalt, legen, mahnen, warnen, winken, einladen, Warnung, Mahnung, Schule
417	3926-ip	i p	Schwiegervater
418	3942-irigy	i r i ɟ	neidisch, neidisch
419	3979-iszik	i s i k	trinken, ziehen, einsaugen, gierig, genießen, Linie, berühren, Linie, fallen, Spielen, Tränke, Trinken, Getränk, Tränke, Trinken, Getränk, Trinker, Kneipe, Trunkenbold, Durst, Trinken, flüssig, angeheitert, betrunken, Lösch-
420	4027-jarom	j aː r o m	Unterdrückung, Knechtschaft, Joch, haupts, Ochsen, Gespann, Zugtiere, Benennung, versch, Form, Jochs, Ähnlichkeit, Ringkampf
421	4035-jatek	j aː t eː k	Spiel, Turnier, Glücksspiel, Schauspiel, bzw, Aufführung, Akt, od, Rolle, davon, Spielerei, Spielzeug, Liebelei, leichte, rhythmische, Bewegung, Naturerscheinung, schauspielerische, Darstellung, Musizieren, Spielraum, Technik, Wechselspiel, Lichts, Schillern, Spieler
422	4045-jeg	j eː ɡ	Eis, Kristall
423	4048-jegy	j ɛ ɟ	Kennzeichen, Symbol, Spur, Sternbild, Anzeichen, Merkmal, schriftliches, Zeichen, Schriftzeichen, Täfelchen, Karte, Billett, Karte, Schein, Eintritts-, Fahrkarte, usw, Wertpapier, note, Marke, Zeichen, etw, Note, Zensur, Schule, Braut, Bräutigam, gekennzeichnet, markiert, bezeichnen, bedeuten, verloben, Kennzeichen, Anmerkung, Notar
424	4050-jelen	j ɛ l ɛ n	zugegen, offenbar, heutzutage, offenbar, offensichtlich, anwesend, gegenwärtig, Erscheinung, Gegenwart, Präsens, offenbar, anwesend, sofort, offensichtlich, Zeit
425	4062-jo	j oː	Habe, Güter, Gute, rechte, Seite, Richtung, Gute, gutes, Werk, Wohl, brav, gut, rechtsseitig, beträchtlich, Beste, größte, Teil
426	4063-jo	j oː	Fluß
427	4065-jobbagy	j o bː aː ɟ	Art, Vasall, Kirchen-, od, Magnat, Leibeigener, Untertan, Gehöft
428	4075-jonh	j o n.h	Herz, Seele, Galle, Lende, Bauch, Magen, Eingeweide, Leber
429	4091-juh	j u h	Schaf
430	4117-kas	k ɒ ʃ	Bienenkorb, Korb, Speicher, Flechtwerk, usw, Käfig, Bergwerk, Körbchen
431	4118-kasa	k aː ʃ ɒ	Grütze, Brei, Wade, Mörtel, dickflüssige, od, Masse, Auflauf
432	4130-kasza	k ɒ s ɒ	Sense, Sense, ähnl, Gegenstand, Acker, Wiese, Bein, gestellter, Haken, messer, Arg, Mäher, Mäher, Wiese
433	4164-kava	k aː v ɒ	Rahmen, Einfassung, Zarge, Rahmen, Öse, Leiterwagen, Unter-, bzw, Henkel, Griff, Fessel, Krater, Abgrund
434	4170-kavics	k ɒ v i t͡ʃ	Kieselstein, Kies, Schotter, geringem, Wert
435	4182-kaba	k ɒ b ɒ	Bezeichnung, versch, Raubvögel, Baumfalke
436	4184-kabala	k ɒ b ɒ l ɒ	Stute, Holz, Pflug, unterwegs, geschleift, Art, Art, Backofen, Art, einfaches, Karussel, Pferd
437	4204-kacs	k ɒ t͡ʃ	Klammer, Haken, Schlinge, Händchen, krummer, Halter, Griff, Sense, Ruders, Riemens, usw, Blattstiel, Bein, gestellter, Haken
438	4211-kacso	k ɒ t͡ʃ oː	Händchen
439	4245-kaka	k aː k ɒ	Binse
440	4249-kakas	k ɒ k ɒ ʃ	Hahn, Männchen, verschiedenartiger, Vögel, Wetterhahn, Mann, Sexualität, her, gesehen, Franzose, Feuerbrand, Rösten, Maiskörner, roter, Fleck, Hieb, od, Schlag, ganze, Knabe, Penis, kleinen, Knaben
441	4275-kalasz	k ɒ l aː s	Splitter, Holz, Knochen, usw, Granne, Maiskolben, Hülse, Gemüsepflanzen
442	4290-kaliz	k aː l i z	königlicher, Steuereinnehmer, Angehöriger, islamischen
443	4307-kamara	k ɒ m ɒ r ɒ	königliche, bzw, Verwaltungsorgan, Zelle, Schlafzimmer, Ventrikel, Speisekammer, Gewölbe, richtende, od, gesetzgebende, Körperschaft, Kammer, Gerichtsbarkeit, Staatsrecht, Haus, Parlament, berufsständische, Körperschaft, Treibjagd, abgesperrte, Raum, Kämmerer, Kammerherr
444	4330-kan	k ɒ n	Eber, Männchen, männlich, großem, Ausmaß, wertvoll, ruhig
445	4376-kanya	k aː ɲ ɒ	Milan, heftigen, Ausdrücken, Bed, Krähe, Habicht
446	4384-kapa	k ɒ p ɒ	Hacke, Haue, Bodenfläche, Tag, bearbeitet, Dreizack, Hacken, Hauer, Arbeiter, Hacke, bearbeitet, Pflanze
447	4385-kapa	k aː p ɒ	hervorragender, runder, Teil, Ende, Sattels, kutte, Kapuze, Benennung, bestimmten, Teils, versch, Gegenstände
448	4423-kapu	k ɒ p u	Durchgang, Tor, Gegenstand, Ort, gewissen, Sportarten, Torhüter, Torwart
449	4432-kar	k aː r	Verlust, Einbuße, Schaden, nachteilige, Veränderung, Platz, Weiden, untersagt, schade
450	4435-karacsony	k ɒ r aː t͡ʃ o ɲ	Weihnachten, Neujahr
451	4448-karasz	k aː r aː s	Karausche, hagerer, Mensch
452	4509-kas	k ɒ ʃ	Bienenkorb, Korb, Speicher, Flechtwerk, usw, Käfig, Bergwerk, Körbchen
453	4510-kasa	k aː ʃ ɒ	Grütze, Brei, Wade, Mörtel, dickflüssige, od, Masse, Auflauf
454	4522-kasza	k ɒ s ɒ	Sense, Sense, ähnl, Gegenstand, Acker, Wiese, Bein, gestellter, Haken, messer, Arg, Mäher, Mäher, Wiese
455	4556-kava	k aː v ɒ	Rahmen, Einfassung, Zarge, Rahmen, Öse, Leiterwagen, Unter-, bzw, Henkel, Griff, Fessel, Krater, Abgrund
456	4562-kavics	k ɒ v i t͡ʃ	Kieselstein, Kies, Schotter, geringem, Wert
457	4582-ker	k eː r	bitten, wünschen, inständig, bitten, anflehen, ersuchen, auffordern, jm, Hand, bitten, od, werben, freien, fordern, beten, käuflich, erwerben, bitten, Bitte
458	4583-ker	k eː r	Kruste, Rinde
459	4586-kerd	k eː r.d	bitten, begehren, fragen, Fragen, nachfragen
460	4588-kerek	k ɛ r ɛ k	Wald, Wirbelwind, etw, Rundes, rund, kreisförmig, umfangreich, kugelrund, offen, frei, unverblümt, Rede, rund, voll, Summe, Zahl, abgerundet, Text, Aufführung, Schriftwerk, runden
461	4589-kerek	k ɛ r eː k	Rad, Kreis, Rademacher, Wagner, kreisförmig, Duodenum
462	4592-kerep	k ɛ r ɛ p	Steinklee
463	4597-kereszt	k ɛ r ɛ s.t	altes, Kreuzform, Sinnbild, Christentums, zwei, einander, senkrecht, schneidende, Linien, bzw, Körper, Gegenstand, Zeichen, usw, Gestalt, Marter, Qual, Kreuzbein, Mandel, Deichsel, Bracke, Blüte, Kreuzritter
464	4610-kert	k ɛ r.t	Garten, umzäunte, Fläche, Wildgehege, Zaun, Hecke, Teil, Lagerung, Getreides
465	4614-kes	k eː ʃ	Aufzeichnung, Messer, Messer, Schwert, Säbel
